mode,nx,ny,dense_thr,dense_q,R,sil,dbi,cov,k,score
quantile,26,26,0.10526315789473684,0.5,-1,0.7778975599602146,0.2897007378511976,0.88,15,0.8107332440870694
quantile,24,24,0.1111111111111111,0.35,-1,0.740690672228923,0.35447238161991007,0.9233333333333333,14,0.8001481748977517
quantile,24,24,0.1111111111111111,0.4,-1,0.740690672228923,0.35447238161991007,0.9233333333333333,14,0.8001481748977517
quantile,22,22,0.0,0.2,-1,0.6530063791892738,0.3487303611253121,1.0,8,0.7975810398816725
quantile,19,19,0.0,0.2,-1,0.6530063791892738,0.3487303611253121,1.0,8,0.7975810398816725
quantile,21,21,0.0,0.2,-1,0.6530063791892738,0.3487303611253121,1.0,8,0.7975810398816725
quantile,20,20,0.043478260869565216,0.2,-1,0.6555400625791227,0.34592025345788,0.9733333333333334,8,0.7901434845395071
quantile,20,20,0.043478260869565216,0.25,-1,0.6555400625791227,0.34592025345788,0.9733333333333334,8,0.7901434845395071
quantile,20,20,0.043478260869565216,0.3,-1,0.6555400625791227,0.34592025345788,0.9733333333333334,8,0.7901434845395071
quantile,19,19,0.04,0.25,-1,0.6552755784091457,0.34645522833867193,0.97,8,0.7888558354248429
quantile,19,19,0.04,0.3,-1,0.6552755784091457,0.34645522833867193,0.97,8,0.7888558354248429
quantile,26,26,0.05263157894736842,0.35,-1,0.7017618105076988,0.4026423324595178,0.9466666666666667,13,0.7863810400077837
quantile,26,26,0.05263157894736842,0.3,-1,0.7017618105076988,0.4026423324595178,0.9466666666666667,13,0.7863810400077837
quantile,26,26,0.05263157894736842,0.4,-1,0.7017618105076988,0.4026423324595178,0.9466666666666667,13,0.7863810400077837
quantile,28,28,0.10526315789473684,0.5,-1,0.7598112240181473,0.3387736277938735,0.8533333333333334,14,0.7863014756506201
quantile,22,22,0.045454545454545456,0.35,-1,0.6564245365315822,0.34492883476503367,0.955,8,0.784571577112469
quantile,22,22,0.011363636363636364,0.25,-1,0.6564245365315822,0.34492883476503367,0.955,8,0.784571577112469
quantile,22,22,0.045454545454545456,0.3,-1,0.6564245365315822,0.34492883476503367,0.955,8,0.784571577112469
quantile,24,24,0.16666666666666666,0.5,-1,0.7623479088673509,0.3275060512564302,0.8383333333333334,14,0.7843441697424798
quantile,21,21,0.2631578947368421,0.5,-1,0.76003811935157,0.3362025909599254,0.835,14,0.7808150121984292
quantile,21,21,0.15789473684210525,0.4,-1,0.6698645303647887,0.42294110679104135,0.9116666666666666,12,0.7608470181720532
quantile,21,21,0.05263157894736842,0.25,-1,0.6150714115043369,0.5071512139290912,0.9666666666666667,9,0.7475647320030601
quantile,28,28,0.05263157894736842,0.3,-1,0.6399915123631617,0.5038740241831712,0.94,12,0.7474799656763811
quantile,28,28,0.05263157894736842,0.4,-1,0.6399915123631617,0.5038740241831712,0.94,12,0.7474799656763811
quantile,28,28,0.05263157894736842,0.35,-1,0.6399915123631617,0.5038740241831712,0.94,12,0.7474799656763811
quantile,21,21,0.10526315789473684,0.35,-1,0.5921596145913152,0.43169667652470467,0.9466666666666667,11,0.7452931430676143
quantile,21,21,0.10526315789473684,0.3,-1,0.5921596145913152,0.43169667652470467,0.9466666666666667,11,0.7452931430676143
quantile,20,20,0.08695652173913043,0.35,-1,0.6197667022119145,0.5165861831159339,0.93,9,0.7356107326687089
quantile,20,20,0.08695652173913043,0.4,-1,0.6197667022119145,0.5165861831159339,0.93,9,0.7356107326687089
quantile,19,19,0.08,0.35,-1,0.5902085459621893,0.4834667505634156,0.94,9,0.7341616887443674
quantile,28,28,0.0,0.2,-1,0.4905954631047731,0.40427235274675105,1.0,9,0.7340147780544202
quantile,28,28,0.0,0.25,-1,0.4905954631047731,0.40427235274675105,1.0,9,0.7340147780544202
quantile,19,19,0.12,0.4,-1,0.5893451961071706,0.4569528861634928,0.915,10,0.7297976722046711
quantile,19,19,0.16,0.5,-1,0.6121330305993233,0.43670208796580534,0.8483333333333334,10,0.7186069980837333
quantile,22,22,0.09090909090909091,0.5,-1,0.5863181404558861,0.5216389874248595,0.9083333333333333,11,0.7166782621930244
quantile,22,22,0.09090909090909091,0.4,-1,0.5863181404558861,0.5216389874248595,0.9083333333333333,11,0.7166782621930244
quantile,24,24,0.05555555555555555,0.25,-1,0.5598793911723049,0.6356501205564223,0.9633333333333334,11,0.7105286152762211
quantile,24,24,0.04444444444444448,0.2,-1,0.5598793911723049,0.6356501205564223,0.9633333333333334,11,0.7105286152762211
quantile,24,24,0.05555555555555555,0.3,-1,0.5598793911723049,0.6356501205564223,0.9633333333333334,11,0.7105286152762211
quantile,26,26,0.0,0.25,-1,0.4180908029745194,0.41333637514852145,1.0,11,0.7085354849656581
quantile,26,26,0.0,0.2,-1,0.4180908029745194,0.41333637514852145,1.0,11,0.7085354849656581
quantile,20,20,0.13043478260869565,0.5,-1,0.5117622099683402,0.6212433861495733,0.865,10,0.664047111110672
